date,act_symbol,expiration,strike,bid,ask,vol,delta,gamma,theta,vega,rho,mid,tau_days,tau_years,S,r,DF,PV_div,F,n_pairs_atm,alpha_hat,alpha_used,C_eur,moneyness_F,lower_bound,upper_bound,upper_from_put,C_eur_pre,P_A
2020-02-21,XOP,2020-03-06,18.0,1.0,1.09,0.3803,0.7356,0.2338,-0.0169,0.012,0.0049,1.045,14,0.038356164383561646,75.19999694824219,0.0158,0.9993941562002526,0.0,75.24558401877833,0,0.0,0.0,57.210902136637635,0.2392166960323932,57.210902136637635,57.210902136637635,57.44090213663763,1.045,0.22999999999999998
2020-02-21,XOP,2020-03-06,18.5,0.69,0.73,0.3709,0.6051,0.2821,-0.0193,0.0142,0.0041,0.71,14,0.038356164383561646,75.19999694824219,0.0158,0.9993941562002526,0.0,75.24558401877833,0,0.0,0.0,56.71120505853751,0.24586160425551523,56.71120505853751,56.71120505853751,57.10620505853751,0.71,0.395
2020-02-21,XOP,2020-03-06,19.0,0.43,0.47,0.3652,0.4588,0.2952,-0.0194,0.0146,0.0031,0.44999999999999996,14,0.038356164383561646,75.19999694824219,0.0158,0.9993941562002526,0.0,75.24558401877833,0,0.0,0.0,56.21150798043738,0.25250651247863726,56.21150798043738,56.21150798043738,56.841507980437385,0.44999999999999996,0.63
2020-02-21,XOP,2020-03-06,19.5,0.25,0.28,0.3617,0.3185,0.2681,-0.0172,0.0131,0.0022,0.265,14,0.038356164383561646,75.19999694824219,0.0158,0.9993941562002526,0.0,75.24558401877833,0,0.0,0.0,55.711810902337255,0.2591514207017593,55.711810902337255,55.711810902337255,56.66181090233726,0.265,0.95
2020-02-21,XOP,2020-03-06,20.0,0.13,0.15,0.355,0.1987,0.2134,-0.0132,0.0103,0.0014,0.14,14,0.038356164383561646,75.19999694824219,0.0158,0.9993941562002526,0.0,75.24558401877833,0,0.0,0.0,55.21211382423713,0.26579632892488136,55.21211382423713,55.21211382423713,56.53211382423713,0.14,1.3199999999999998
2020-02-21,XOP,2020-03-06,20.5,0.05,0.08,0.3465,0.1088,0.1463,-0.0086,0.0069,0.0008,0.065,14,0.038356164383561646,75.19999694824219,0.0158,0.9993941562002526,0.0,75.24558401877833,0,0.0,0.0,54.712416746137,0.2724412371480034,54.712416746137,54.712416746137,56.472416746137,0.065,1.76
2020-02-21,XOP,2020-03-06,21.5,0.01,0.03,0.3587,0.0309,0.0529,-0.0033,0.0026,0.0002,0.02,14,0.038356164383561646,75.19999694824219,0.0158,0.9993941562002526,0.0,75.24558401877833,0,0.0,0.0,53.713022589936756,0.28573105359424744,53.713022589936756,53.713022589936756,56.37302258993675,0.02,2.66
2020-02-21,XOP,2020-03-20,16.0,2.86,2.9,0.4042,0.934,0.0609,-0.0054,0.0067,0.0112,2.88,28,0.07671232876712329,75.19999694824219,0.0158,0.9987886794472148,0.0,75.29119872470125,0,0.0,0.0,59.219378077086745,0.21250823829360524,59.219378077086745,59.219378077086745,59.28437807708674,2.88,0.065
2020-02-21,XOP,2020-03-20,17.0,1.97,2.0,0.3806,0.8456,0.1199,-0.0089,0.0124,0.0107,1.9849999999999999,28,0.07671232876712329,75.19999694824219,0.0158,0.9987886794472148,0.0,75.29119872470125,0,0.0,0.0,58.22058939763953,0.22579000318695558,58.22058939763953,58.22058939763953,58.38558939763953,1.9849999999999999,0.165
2020-02-21,XOP,2020-03-20,18.0,1.2,1.22,0.359,0.6907,0.1886,-0.0122,0.0183,0.009,1.21,28,0.07671232876712329,75.19999694824219,0.0158,0.9987886794472148,0.0,75.29119872470125,0,0.0,0.0,57.22180071819231,0.2390717680803059,57.22180071819231,57.22180071819231,57.61180071819231,1.21,0.39
2020-02-21,XOP,2020-03-20,19.0,0.62,0.65,0.3461,0.4794,0.2213,-0.0131,0.0207,0.0064,0.635,28,0.07671232876712329,75.19999694824219,0.0158,0.9987886794472148,0.0,75.29119872470125,0,0.0,0.0,56.223012038745104,0.25235353297365626,56.223012038745104,56.223012038745104,57.0380120387451,0.635,0.815
2020-02-21,XOP,2020-03-20,20.0,0.28,0.29,0.3401,0.2745,0.1884,-0.0107,0.0173,0.0037,0.28500000000000003,28,0.07671232876712329,75.19999694824219,0.0158,0.9987886794472148,0.0,75.29119872470125,0,0.0,0.0,55.22422335929789,0.26563529786700657,55.22422335929789,55.22422335929789,56.68422335929789,0.28500000000000003,1.46
2020-02-21,XOP,2020-03-20,21.0,0.11,0.12,0.3422,0.1335,0.121,-0.007,0.0112,0.0018,0.11499999999999999,28,0.07671232876712329,75.19999694824219,0.0158,0.9987886794472148,0.0,75.29119872470125,0,0.0,0.0,54.22543467985067,0.2789170627603569,54.22543467985067,54.22543467985067,56.51543467985067,0.11499999999999999,2.29
2020-02-21,XOP,2020-03-20,22.0,0.04,0.05,0.3509,0.0595,0.0648,-0.0039,0.0062,0.0008,0.045,28,0.07671232876712329,75.19999694824219,0.0158,0.9987886794472148,0.0,75.29119872470125,0,0.0,0.0,53.226646000403456,0.2921988276537072,53.226646000403456,53.226646000403456,56.45164600040346,0.045,3.225
2020-02-21,XOP,2020-04-03,16.0,2.81,3.05,0.4196,0.8812,0.0728,-0.0055,0.0124,0.0157,2.9299999999999997,42,0.11506849315068493,75.19999694824219,0.0158,0.9981835695185138,0.379490413221133,74.95666009721202,0,0.0,0.0,58.84956942272483,0.21345668255828693,58.84956942272483,58.84956942272483,58.98956942272483,2.9299999999999997,0.14
2020-02-21,XOP,2020-04-03,17.0,2.02,2.12,0.3847,0.7932,0.1152,-0.0077,0.018,0.0148,2.0700000000000003,42,0.11506849315068493,75.19999694824219,0.0158,0.9981835695185138,0.379490413221133,74.95666009721202,0,0.0,0.0,57.85138585320632,0.22679772521817987,57.85138585320632,57.85138585320632,58.141385853206316,2.0700000000000003,0.29000000000000004
2020-02-21,XOP,2020-04-03,17.5,1.64,1.74,0.3749,0.7289,0.1376,-0.0088,0.021,0.0138,1.69,42,0.11506849315068493,75.19999694824219,0.0158,0.9981835695185138,0.379490413221133,74.95666009721202,0,0.0,0.0,57.35229406844706,0.23346824654812634,57.35229406844706,57.35229406844706,57.762294068447055,1.69,0.41000000000000003
2020-02-21,XOP,2020-04-03,18.0,1.32,1.36,0.3633,0.6546,0.1583,-0.0097,0.0234,0.0126,1.34,42,0.11506849315068493,75.19999694824219,0.0158,0.9981835695185138,0.379490413221133,74.95666009721202,0,0.0,0.0,56.8532022836878,0.2401387678780728,56.8532022836878,56.8532022836878,57.4132022836878,1.34,0.56
2020-02-21,XOP,2020-04-03,18.5,0.97,1.08,0.3505,0.5709,0.1751,-0.01,0.0249,0.0112,1.025,42,0.11506849315068493,75.19999694824219,0.0158,0.9981835695185138,0.379490413221133,74.95666009721202,0,0.0,0.0,56.35411049892854,0.24680928920801928,56.35411049892854,56.35411049892854,57.10411049892854,1.025,0.75
2020-02-21,XOP,2020-04-03,19.0,0.75,0.79,0.3445,0.481,0.1809,-0.0101,0.0253,0.0095,0.77,42,0.11506849315068493,75.19999694824219,0.0158,0.9981835695185138,0.379490413221133,74.95666009721202,0,0.0,0.0,55.85501871416928,0.25347981053796576,55.85501871416928,55.85501871416928,56.85001871416928,0.77,0.995
2020-02-21,XOP,2020-04-03,19.5,0.54,0.58,0.3388,0.3913,0.1774,-0.0096,0.0244,0.0078,0.56,42,0.11506849315068493,75.19999694824219,0.0158,0.9981835695185138,0.379490413221133,74.95666009721202,0,0.0,0.0,55.35592692941003,0.2601503318679122,55.35592692941003,55.35592692941003,56.64092692941003,0.56,1.2850000000000001
2020-02-21,XOP,2020-04-03,20.0,0.37,0.41,0.3319,0.3056,0.1654,-0.0086,0.0223,0.0062,0.39,42,0.11506849315068493,75.19999694824219,0.0158,0.9981835695185138,0.379490413221133,74.95666009721202,0,0.0,0.0,54.85683514465077,0.2668208531978587,54.85683514465077,54.85683514465077,56.48183514465077,0.39,1.625
2020-02-21,XOP,2020-04-03,20.5,0.25,0.28,0.3276,0.2301,0.1453,-0.0074,0.0193,0.0047,0.265,42,0.11506849315068493,75.19999694824219,0.0158,0.9981835695185138,0.379490413221133,74.95666009721202,0,0.0,0.0,54.357743359891515,0.27349137452780514,54.357743359891515,54.357743359891515,56.37774335989152,0.265,2.02
2020-02-21,XOP,2020-04-03,21.5,0.1,0.13,0.3239,0.1187,0.0961,-0.0048,0.0126,0.0024,0.115,42,0.11506849315068493,75.19999694824219,0.0158,0.9981835695185138,0.379490413221133,74.95666009721202,0,0.0,0.0,53.359559790373,0.2868324171876981,53.359559790373,53.359559790373,56.214559790372995,0.115,2.855
2020-02-24,XOP,2020-03-06,15.0,2.53,2.75,0.5259,0.9656,0.0466,-0.0052,0.0023,0.0043,2.6399999999999997,11,0.030136986301369864,70.5999984741211,0.0158,0.999523948964707,0.0,70.63362368380227,0,0.0,0.0,55.60713923965049,0.21236344983727354,55.60713923965049,55.60713923965049,55.637139239650494,2.6399999999999997,0.03
2020-02-24,XOP,2020-03-06,16.0,1.7,1.83,0.5363,0.8639,0.1325,-0.0161,0.0067,0.0041,1.7650000000000001,11,0.030136986301369864,70.5999984741211,0.0158,0.999523948964707,0.0,70.63362368380227,0,0.0,0.0,54.607615290685786,0.22652101315975845,54.607615290685786,54.607615290685786,54.71261529068578,1.7650000000000001,0.105
2020-02-24,XOP,2020-03-06,16.5,1.31,1.36,0.5018,0.7924,0.1859,-0.0198,0.0088,0.0038,1.335,11,0.030136986301369864,70.5999984741211,0.0158,0.999523948964707,0.0,70.63362368380227,0,0.0,0.0,54.10785331620343,0.2335997948210009,54.10785331620343,54.10785331620343,54.28285331620343,1.335,0.175
2020-02-24,XOP,2020-03-06,17.0,0.94,0.97,0.4787,0.6883,0.2409,-0.0234,0.0108,0.0034,0.955,11,0.030136986301369864,70.5999984741211,0.0158,0.999523948964707,0.0,70.63362368380227,0,0.0,0.0,53.60809134172108,0.24067857648224336,53.60809134172108,53.60809134172108,53.908091341721075,0.955,0.3
2020-02-24,XOP,2020-03-06,17.5,0.62,0.65,0.4587,0.5577,0.2808,-0.0251,0.0121,0.0028,0.635,11,0.030136986301369864,70.5999984741211,0.0158,0.999523948964707,0.0,70.63362368380227,0,0.0,0.0,53.108329367238724,0.2477573581434858,53.108329367238724,53.108329367238724,53.593329367238724,0.635,0.485
2020-02-24,XOP,2020-03-06,18.0,0.38,0.4,0.4444,0.4138,0.2862,-0.024,0.0119,0.0021,0.39,11,0.030136986301369864,70.5999984741211,0.0158,0.999523948964707,0.0,70.63362368380227,0,0.0,0.0,52.60856739275637,0.25483613980472825,52.60856739275637,52.60856739275637,53.35356739275637,0.39,0.745
2020-02-24,XOP,2020-03-06,18.5,0.21,0.23,0.4341,0.2781,0.2523,-0.0202,0.0103,0.0014,0.22,11,0.030136986301369864,70.5999984741211,0.0158,0.999523948964707,0.0,70.63362368380227,0,0.0,0.0,52.10880541827402,0.26191492146597073,52.10880541827402,52.10880541827402,53.18380541827402,0.22,1.0750000000000002
2020-02-24,XOP,2020-03-06,19.0,0.11,0.13,0.435,0.1735,0.1924,-0.0155,0.0078,0.0009,0.12,11,0.030136986301369864,70.5999984741211,0.0158,0.999523948964707,0.0,70.63362368380227,0,0.0,0.0,51.60904344379166,0.26899370312721316,51.60904344379166,51.60904344379166,53.07904344379166,0.12,1.47
2020-02-24,XOP,2020-03-06,19.5,0.05,0.07,0.4335,0.0987,0.1309,-0.0105,0.0053,0.0005,0.060000000000000005,11,0.030136986301369864,70.5999984741211,0.0158,0.999523948964707,0.0,70.63362368380227,0,0.0,0.0,51.10928146930931,0.2760724847884556,51.10928146930931,51.10928146930931,52.98428146930931,0.060000000000000005,1.875
2020-02-24,XOP,2020-03-06,20.5,0.0,0.03,0.4335,0.0254,0.0446,-0.0036,0.0018,0.0001,0.015,11,0.030136986301369864,70.5999984741211,0.0158,0.999523948964707,0.0,70.63362368380227,0,0.0,0.0,50.10975752034461,0.2902300481109405,50.10975752034461,50.10975752034461,52.92975752034461,0.015,2.8200000000000003
2020-02-24,XOP,2020-03-20,15.0,2.72,2.8,0.4942,0.9074,0.0724,-0.0078,0.0076,0.0091,2.76,25,0.0684931506849315,70.5999984741211,0.0158,0.9989183935775277,0.0,70.67644256832048,0,0.0,0.0,55.61622257045818,0.2122347907578967,55.61622257045818,55.61622257045818,55.70122257045818,2.76,0.08499999999999999
2020-02-24,XOP,2020-03-20,16.0,1.87,1.93,0.4666,0.8074,0.1268,-0.012,0.0126,0.0084,1.9,25,0.0684931506849315,70.5999984741211,0.0158,0.9989183935775277,0.0,70.67644256832048,0,0.0,0.0,54.617304176880644,0.22638377680842314,54.617304176880644,54.617304176880644,54.852304176880644,1.9,0.235
2020-02-24,XOP,2020-03-20,17.0,1.14,1.17,0.4332,0.6524,0.1846,-0.015,0.017,0.0071,1.1549999999999998,25,0.0684931506849315,70.5999984741211,0.0158,0.9989183935775277,0.0,70.67644256832048,0,0.0,0.0,53.61838578330312,0.2405327628589496,53.61838578330312,53.61838578330312,54.12338578330312,1.1549999999999998,0.505
2020-02-24,XOP,2020-03-20,18.0,0.61,0.62,0.4164,0.4517,0.206,-0.0154,0.0183,0.005,0.615,25,0.0684931506849315,70.5999984741211,0.0158,0.9989183935775277,0.0,70.67644256832048,0,0.0,0.0,52.61946738972559,0.25468174890947604,52.61946738972559,52.61946738972559,53.569467389725595,0.615,0.95
2020-02-24,XOP,2020-03-20,19.0,0.25,0.28,0.3943,0.2551,0.1765,-0.0118,0.0148,0.0029,0.265,25,0.0684931506849315,70.5999984741211,0.0158,0.9989183935775277,0.0,70.67644256832048,0,0.0,0.0,51.62054899614807,0.2688307349600025,51.62054899614807,51.62054899614807,53.230548996148066,0.265,1.6099999999999999
