date,expiration,strike,bid,ask,vol,delta,gamma,theta,vega,rho,mid,tau_days,tau_years,S,r,DF,PV_div,F,n_pairs_atm,alpha_hat,alpha_used,C_eur,moneyness_F,lower_bound,upper_bound,upper_from_put,C_eur_pre,P_A
2020-03-04,2020-03-18,291.0,23.08,23.31,0.4055,0.8168,0.0107,-0.2366,0.1615,0.0884,23.195,14,0.038356164383561646,312.8599853515625,0.0123,0.9995283304491549,0.0,313.007621515814,3,0.0,0.0,23.195,0.9296898222182679,21.997241190858446,23.195,24.532241190858446,23.195,2.535
2020-03-04,2020-03-18,300.0,15.53,15.75,0.3604,0.7174,0.0154,-0.2678,0.2059,0.0795,15.64,14,0.038356164383561646,312.8599853515625,0.0123,0.9995283304491549,0.0,313.007621515814,3,0.0,0.0,15.64,0.958443115688936,13.001486216816053,15.64,16.986486216816054,15.64,3.9850000000000003
2020-03-04,2020-03-18,307.0,10.24,10.36,0.3216,0.6064,0.0196,-0.2717,0.2343,0.0683,10.3,14,0.038356164383561646,312.8599853515625,0.0123,0.9995283304491549,0.0,313.007621515814,3,0.0,0.0,10.3,0.9808067883883446,6.004787903671969,10.3,11.65478790367197,10.3,5.65
2020-03-04,2020-03-18,313.0,6.27,6.38,0.2866,0.4803,0.0228,-0.2507,0.2427,0.0548,6.324999999999999,14,0.038356164383561646,312.8599853515625,0.0123,0.9995283304491549,0.0,313.007621515814,3,0.0,0.0,6.324999999999999,0.9999756507021232,0.007617920977039556,6.324999999999999,7.697617920977039,6.324999999999999,7.6899999999999995
2020-03-04,2020-03-18,319.0,3.17,3.25,0.2523,0.3271,0.0235,-0.1998,0.2198,0.0377,3.21,14,0.038356164383561646,312.8599853515625,0.0123,0.9995283304491549,0.0,313.007621515814,3,0.0,0.0,3.21,1.019144513015902,0.0,3.21,4.57044793828211,3.21,10.56
2020-03-04,2020-03-18,325.0,1.2,1.25,0.2219,0.1723,0.0189,-0.1242,0.1555,0.0201,1.225,14,0.038356164383561646,312.8599853515625,0.0123,0.9995283304491549,0.0,313.007621515814,3,0.0,0.0,1.225,1.0383133753296807,0.0,1.225,2.5832779555871817,1.225,14.57
2020-03-04,2020-03-18,335.0,0.17,0.2,0.2053,0.0375,0.0065,-0.0368,0.0498,0.0044,0.185,14,0.038356164383561646,312.8599853515625,0.0123,0.9995283304491549,0.0,313.007621515814,3,0.0,0.0,0.185,1.0702614791859786,0.0,0.185,1.5829946510956319,0.185,23.565
2020-03-04,2020-03-18,344.0,0.04,0.06,0.2188,0.0111,0.0022,-0.014,0.0178,0.0013,0.05,14,0.038356164383561646,312.8599853515625,0.0123,0.9995283304491549,0.0,313.007621515814,3,0.0,0.0,0.05,1.0990147726566466,0.0,0.05,1.472239677053242,0.05,32.45
2020-03-04,2020-03-18,360.0,0.0,0.02,0.2269,0.0006,0.0002,-0.0011,0.0013,0.0001,0.01,14,0.038356164383561646,312.8599853515625,0.0123,0.9995283304491549,0.0,313.007621515814,3,0.0,0.0,0.01,1.1501317388267231,0.0,0.01,1.4397863898667538,0.01,48.41
2020-03-04,2020-04-01,265.0,47.3,48.06,0.4867,0.8887,0.0044,-0.0994,0.1582,0.1756,47.68,28,0.07671232876712329,312.8599853515625,0.0123,0.999056883370475,1.4052421199509544,311.7487586701471,3,0.0,0.0,47.68,0.8500434809441834,46.70466913843562,47.68,48.22966913843562,47.68,1.525
